#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_5	446	700	-	OAKKFK_00004	9.6	7.9		
contig_5	776	1051	-	OAKKFK_00005	10.5	9.3		
contig_6	4074	5750	+	OAKKFK_00008	62.0	8.5		
contig_7	23603	23968	-	OAKKFK_00047	13.2	5.8		
contig_7	35890	36291	+	OAKKFK_00068	15.7	8.6	PF01123.25|Stap_Strp_toxin	PFAM:PF01123.25
contig_7	39863	40099	-	OAKKFK_00073	9.1	4.7		
contig_7	40177	40671	-	OAKKFK_00074	19.1	6.0		
contig_7	42663	42761	-	OAKKFK_00076	3.8	4.6		
contig_7	47472	47690	+	OAKKFK_00082	8.4	6.5		
contig_8	21469	21846	-	OAKKFK_00102	14.7	9.0	PF00575.29|S1, PF23459.1|S1_RRP5, PF24685.1|OB_RRP5_4th	PFAM:PF00575.29, PFAM:PF23459.1, PFAM:PF24685.1
contig_8	40192	40428	-	OAKKFK_00123	9.1	4.1	PF00550.31|PP-binding	PFAM:PF00550.31
contig_9	7243	7413	+	OAKKFK_00136	6.3	9.3		
contig_9	7973	8239	-	OAKKFK_00138	10.0	8.1		
contig_9	10857	12188	+	OAKKFK_00141	50.8	6.4	PF00270.35|DEAD, PF13091.12|PLDc_2	PFAM:PF00270.35, PFAM:PF13091.12
contig_9	12228	13718	+	OAKKFK_00142	57.5	5.6	PF00271.37|Helicase_C	PFAM:PF00271.37
contig_13	953	1354	-	OAKKFK_00248	16.6	9.9		
contig_13	5318	5680	-	OAKKFK_00253	13.8	4.9		
contig_13	6097	6258	-	OAKKFK_00255	6.2	4.6		
contig_13	7165	7410	-	OAKKFK_00259	9.5	5.7	PF11195.14|Tad2-like	PFAM:PF11195.14
contig_13	10258	10383	+	OAKKFK_00265	4.6	9.9		
contig_16	27053	27235	+	OAKKFK_00301	6.7	6.2	PF05532.17|CsbD	PFAM:PF05532.17
contig_16	27275	27421	+	OAKKFK_00302	5.7	5.1		
contig_16	31939	32607	+	OAKKFK_00307	25.7	4.7	PF00515.34|TPR_1, PF01535.26|PPR, PF06552.18|TOM20_plant, PF07719.23|TPR_2, PF12895.13|ANAPC3, PF13174.12|TPR_6, PF13176.12|TPR_7, PF13181.12|TPR_8, PF13374.12|TPR_10, PF13414.12|TPR_11, PF13424.12|TPR_12, PF13428.12|TPR_14, PF13431.12|TPR_17, PF13432.12|TPR_16, PF14559.12|TPR_19, PF14561.12|TPR_20, PF20308.4|TPR-S, PF21545.3|T7SS_EccA1_N, PF23914.1|TPR_CcmH_CycH	PFAM:PF00515.34, PFAM:PF01535.26, PFAM:PF06552.18, PFAM:PF07719.23, PFAM:PF12895.13, PFAM:PF13174.12, PFAM:PF13176.12, PFAM:PF13181.12, PFAM:PF13374.12, PFAM:PF13414.12, PFAM:PF13424.12, PFAM:PF13428.12, PFAM:PF13431.12, PFAM:PF13432.12, PFAM:PF14559.12, PFAM:PF14561.12, PFAM:PF20308.4, PFAM:PF21545.3, PFAM:PF23914.1
contig_16	38122	38382	+	OAKKFK_00310	10.3	4.7		
contig_16	45455	45904	+	OAKKFK_00320	16.8	4.6	PF00364.28|Biotin_lipoyl, PF13375.12|RnfC_N	PFAM:PF00364.28, PFAM:PF13375.12
contig_16	51489	51962	+	OAKKFK_00326	17.8	8.3	PF01123.25|Stap_Strp_toxin	PFAM:PF01123.25
contig_16	52111	52299	+	OAKKFK_00327	7.5	4.7	PF02876.24|Stap_Strp_tox_C	PFAM:PF02876.24
contig_16	52501	52770	-	OAKKFK_00328	10.2	7.9		SO:0001217, UniRef:UniRef50_Q2FXX6
contig_16	59599	60030	+	OAKKFK_00339	15.8	8.1	PF00383.29|dCMP_cyt_deam_1	PFAM:PF00383.29
contig_16	84616	85155	+	OAKKFK_00364	20.5	7.7	PF00571.33|CBS	PFAM:PF00571.33
contig_16	106492	106866	+	OAKKFK_00388	14.4	8.9	PF15980.10|ComGF	PFAM:PF15980.10
contig_16	113507	113725	-	OAKKFK_00395	8.7	10.6		SO:0001217, UniRef:UniRef50_A0A161UCU0
contig_16	129233	129331	+	OAKKFK_00412	3.9	6.7		
contig_16	130962	131054	-	OAKKFK_00415	3.3	11.0		
contig_18	345	653	+	OAKKFK_00440	12.3	5.9		
contig_18	2260	2460	+	OAKKFK_00446	7.8	8.0		SO:0001217, UniRef:UniRef50_A0A0K1LL54
contig_18	2487	2693	-	OAKKFK_00447	8.1	9.8		
contig_18	13454	13732	+	OAKKFK_00458	10.9	5.1	PF05135.19|Phage_connect_1	PFAM:PF05135.19
contig_18	29395	29559	+	OAKKFK_00473	6.5	4.3		
contig_18	32529	32744	+	OAKKFK_00478	8.0	4.4		SO:0001217, UniRef:UniRef50_UPI001A9C3044
contig_18	50636	50836	+	OAKKFK_00496	7.7	9.7		SO:0001217, UniRef:UniRef50_A0A6M1XP97
contig_18	69065	71248	-	OAKKFK_00513	80.4	8.7	PF00905.27|Transpeptidase, PF00912.28|Transgly	PFAM:PF00905.27, PFAM:PF00912.28
contig_18	73776	73892	+	OAKKFK_00519	4.4	4.4		
contig_18	119804	120205	-	OAKKFK_00530	15.4	5.9	PF00075.30|RNase_H, PF13456.12|RVT_3	PFAM:PF00075.30, PFAM:PF13456.12
contig_18	132816	133016	+	OAKKFK_00549	7.8	7.7		SO:0001217, UniRef:UniRef50_A0A2X2KCZ4
contig_18	153398	154117	-	OAKKFK_00568	25.3	4.7	PF00132.30|Hexapep, PF14602.12|Hexapep_2	PFAM:PF00132.30, PFAM:PF14602.12
contig_19	244	873	-	OAKKFK_00573	21.8	9.7		
contig_19	3410	3715	+	OAKKFK_00577	11.4	6.4	PF00581.25|Rhodanese	PFAM:PF00581.25
contig_19	11671	11838	-	OAKKFK_00585	7.0	4.5		
contig_20	34546	34704	-	OAKKFK_00616	5.4	4.4		
contig_21	270	425	+	OAKKFK_00617	5.5	10.3	PF00746.26|Gram_pos_anchor	PFAM:PF00746.26
contig_22	1302	1394	-	OAKKFK_00621	3.5	5.9		SO:0001217, UniRef:UniRef50_Q5HK49
contig_22	1387	1737	-	OAKKFK_00622	13.8	4.7	PF06106.16|SAUGI	PFAM:PF06106.16, SO:0001217, UniRef:UniRef50_A0A0H2VDZ4
contig_22	9556	9909	-	OAKKFK_00630	14.0	9.9	PF13276.12|HTH_21	PFAM:PF13276.12
contig_22	23021	23170	+	OAKKFK_00640	5.8	6.5		
contig_22	23702	24328	-	OAKKFK_00641	24.2	5.9		SO:0001217, UniRef:UniRef50_Q5HK70
contig_23	27573	28439	-	OAKKFK_00676	32.1	4.9		
contig_23	71708	72292	+	OAKKFK_00718	22.7	9.4		SO:0001217, UniRef:UniRef50_Q2G2F9
contig_23	72572	73012	+	OAKKFK_00719	16.0	9.2	PF10517.14|DM13	PFAM:PF10517.14
contig_23	92478	92765	-	OAKKFK_00738	11.2	9.5		SO:0001217, UniRef:UniRef50_Q2G0A8
contig_23	100101	100784	+	OAKKFK_00745	26.7	9.9		SO:0001217, UniRef:UniRef50_A0A0E1X7T8
contig_23	135107	136336	-	OAKKFK_00783	45.0	7.8		
contig_25	813	1001	-	OAKKFK_00845	7.3	6.1		
contig_25	3606	3722	-	OAKKFK_00850	4.4	10.4		
contig_25	5764	5985	-	OAKKFK_00854	8.7	5.5		
contig_25	5995	6255	-	OAKKFK_00855	10.2	4.6		
contig_25	6501	6629	-	OAKKFK_00857	5.0	5.0		
contig_25	7357	7500	-	OAKKFK_00859	5.5	10.4		
contig_25	8592	9074	+	OAKKFK_00862	18.5	5.2		
contig_25	9175	9354	-	OAKKFK_00863	7.1	6.6		
contig_25	9425	10192	-	OAKKFK_00864	29.5	9.4		
contig_25	62346	62480	+	OAKKFK_00919	5.2	5.0		
contig_25	62581	62727	-	OAKKFK_00920	5.5	10.1		
contig_25	93699	93797	-	OAKKFK_00953	4.0	5.3		
contig_25	123329	123757	-	OAKKFK_00987	16.7	8.9		
contig_25	125259	132074	+	OAKKFK_00989	227.8	4.2	PF00746.26|Gram_pos_anchor, PF18483.8|Bact_lectin, PF19258.4|KxYKxGKxW_sig	PFAM:PF00746.26, PFAM:PF18483.8, PFAM:PF19258.4
contig_25	145873	147732	-	OAKKFK_00999	69.2	6.0	PF01832.25|Glucosaminidase, PF05257.22|CHAP	PFAM:PF01832.25, PFAM:PF05257.22
contig_25	151988	153940	-	OAKKFK_01002	69.9	6.4	PF00359.27|PTS_EIIA_2, PF02302.22|PTS_IIB	PFAM:PF00359.27, PFAM:PF02302.22
contig_25	156131	156589	-	OAKKFK_01004	16.4	6.0		
contig_26	5028	8495	+	OAKKFK_01021	123.0	4.9	PF04650.22|YSIRK_signal, PF07564.17|DUF1542	PFAM:PF04650.22, PFAM:PF07564.17
