# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_3	rRNA	3	117	-	OAKKFK_00001	87.9	1.1e-14	-	-	-	RFAM:RF00001
contig_3	rRNA	190	3112	-	OAKKFK_00002	3001.2	1.4e-06	-	-	-	RFAM:RF02541
contig_4	cds	8	391	+	OAKKFK_00003	165.0	3.4e-52	0.835	0.972	0.745	UniRef:UniRef50_UPI001F5D6C1D
contig_5	cds	446	700	-	OAKKFK_00004	-	-	-	-	-	-
contig_5	cds	776	1051	-	OAKKFK_00005	-	-	-	-	-	-
contig_6	cds	450	1145	-	OAKKFK_00006	459.0	7.3e-165	1.0	0.963	1.0	UniRef:UniRef50_Q2FWH6
contig_6	cds	1145	3802	-	OAKKFK_00007	1699.0	0.0	1.0	0.974	1.0	UniRef:UniRef50_Q2FWH7
contig_6	cds	4074	5750	+	OAKKFK_00008	-	-	-	-	-	-
contig_6	cds	5769	7796	+	OAKKFK_00009	618.0	2.8e-213	0.997	0.975	0.513	UniRef:UniRef50_A0A925CAE1
contig_6	cds	7816	8376	+	OAKKFK_00010	367.0	8.1e-130	0.995	0.964	1.0	UniRef:UniRef50_Q2FWI1
contig_6	cds	8584	9063	+	OAKKFK_00011	291.0	6.6e-101	1.0	1.0	0.931	UniRef:UniRef50_Q2FWI2
contig_6	cds	9056	10639	+	OAKKFK_00012	775.0	3.6e-280	1.006	1.0	0.766	UniRef:UniRef50_A0A2K4AEP0
contig_6	cds	10623	11117	+	OAKKFK_00013	259.0	4.7e-88	1.018	1.0	0.790	UniRef:UniRef50_Q2FWI4
contig_6	cds	11121	11480	+	OAKKFK_00014	238.0	1.2e-80	1.0	0.832	0.983	UniRef:UniRef50_Q9ZAH6
contig_6	cds	11546	12694	+	OAKKFK_00015	761.0	4.5e-279	0.997	0.943	1.0	UniRef:UniRef50_P63479
contig_6	cds	12779	12949	+	OAKKFK_00016	111.0	7.4e-35	1.0	1.0	1.0	BlastRules:WP_000948331
contig_6	cds	12946	13308	+	OAKKFK_00017	170.0	4.2e-54	1.108	0.993	0.714	UniRef:UniRef50_Q49Z22
contig_6	cds	13657	14658	+	OAKKFK_00018	455.0	1.3e-159	0.982	0.893	0.676	UniRef:UniRef50_S2XRQ7
contig_6	cds	14777	15103	+	OAKKFK_00019	128.0	5.2e-38	1.028	0.991	0.577	UniRef:UniRef50_P60070
contig_6	cds	15105	15584	+	OAKKFK_00020	301.0	7.1e-105	1.0	0.941	0.994	UniRef:UniRef50_P17904
contig_6	cds	15559	16329	+	OAKKFK_00021	296.0	2.1e-99	0.934	0.845	0.611	UniRef:UniRef50_P06574
contig_6	cds	16775	18913	+	OAKKFK_00022	732.0	4.0e-257	1.011	0.994	0.543	UniRef:UniRef50_R7P2I5
contig_6	cds	18906	19361	+	OAKKFK_00023	203.0	3.9e-66	0.954	0.842	0.653	UniRef:UniRef50_B9DMI1
contig_6	tRNA	20008	20090	+	OAKKFK_00024	59.6	-	-	-	-	-
contig_6	tRNA	20112	20185	+	OAKKFK_00025	79.0	-	-	-	-	-
contig_7	ncRNA	27	84	+	OAKKFK_00026	81.9	3.3e-12	-	-	-	RFAM:RF02396
contig_7	cds	602	1663	+	OAKKFK_00027	473.0	4.6e-166	0.983	0.890	0.709	UniRef:UniRef50_B9DMY0
contig_7	cds	1921	3378	+	OAKKFK_00028	684.0	1.7e-245	1.0	0.976	0.742	UniRef:UniRef50_A0A239YWZ0
contig_7	cds	3365	4093	+	OAKKFK_00029	280.0	2.0e-93	0.992	0.923	0.600	UniRef:UniRef50_K2EWR8
