# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_3	rRNA	3	117	-	OAKKFK_00001	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_3	rRNA	190	3112	-	OAKKFK_00002	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_4	cds	8	391	+	OAKKFK_00003		Csa1 family protein	SO:0001217, UniRef:UniRef50_UPI001F5D6C1D
contig_5	cds	446	700	-	OAKKFK_00004		hypothetical protein	
contig_5	cds	776	1051	-	OAKKFK_00005		hypothetical protein	
contig_6	cds	450	1145	-	OAKKFK_00006	kdpE	Transcriptional regulatory protein KdpE	SO:0001217, UniRef:UniRef50_Q2FWH6
contig_6	cds	1145	3802	-	OAKKFK_00007	kdpD	Sensor histidine kinase KdpD	SO:0001217, UniRef:UniRef50_Q2FWH7
contig_6	cds	4074	5750	+	OAKKFK_00008		hypothetical protein	
contig_6	cds	5769	7796	+	OAKKFK_00009		Potassium-transporting ATPase ATP-binding subunit	SO:0001217, UniRef:UniRef50_A0A925CAE1
contig_6	cds	7816	8376	+	OAKKFK_00010	kdpC	Potassium-transporting ATPase KdpC subunit	SO:0001217, UniRef:UniRef50_Q2FWI1
contig_6	cds	8584	9063	+	OAKKFK_00011		YdbS-like PH domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FWI2
contig_6	cds	9056	10639	+	OAKKFK_00012		YdbS-like PH domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2K4AEP0
contig_6	cds	10623	11117	+	OAKKFK_00013		YdbS-like PH domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FWI4
contig_6	cds	11121	11480	+	OAKKFK_00014		Holo-[acyl-carrier-protein] synthase	SO:0001217, UniRef:UniRef50_Q9ZAH6
contig_6	cds	11546	12694	+	OAKKFK_00015		Alanine racemase 1	SO:0001217, UniRef:UniRef50_P63479
contig_6	cds	12779	12949	+	OAKKFK_00016	mazE	type II toxin-antitoxin system antitoxin MazE	BlastRules:WP_000948331, BlastRules:WP_001829931, BlastRules:WP_011275271, BlastRules:WP_011302702, SO:0001217, UniRef:UniRef50_Q2FWI7
contig_6	cds	12946	13308	+	OAKKFK_00017	mazF	Endoribonuclease MazF	SO:0001217, UniRef:UniRef50_Q49Z22
contig_6	cds	13657	14658	+	OAKKFK_00018		PPM-type phosphatase domain-containing protein	SO:0001217, UniRef:UniRef50_S2XRQ7
contig_6	cds	14777	15103	+	OAKKFK_00019		Anti-sigma-B factor antagonist	SO:0001217, UniRef:UniRef50_P60070
contig_6	cds	15105	15584	+	OAKKFK_00020	rsbW	Serine-protein kinase RsbW	SO:0001217, UniRef:UniRef50_P17904
contig_6	cds	15559	16329	+	OAKKFK_00021		RNA polymerase sigma-B factor	SO:0001217, UniRef:UniRef50_P06574
contig_6	cds	16775	18913	+	OAKKFK_00022		S1 motif domain-containing protein	SO:0001217, UniRef:UniRef50_R7P2I5
contig_6	cds	18906	19361	+	OAKKFK_00023		Protein SprT-like	SO:0001217, UniRef:UniRef50_B9DMI1
contig_6	tRNA	20008	20090	+	OAKKFK_00024	trnL	tRNA-Leu(gag)	SO:0000264
contig_6	tRNA	20112	20185	+	OAKKFK_00025	trnG	tRNA-Gly(tcc)	SO:0000260
contig_7	ncRNA	27	84	+	OAKKFK_00026	sau-5949	Staphylococcus sRNA sau-5949	RFAM:RF02396, SO:0000655
contig_7	cds	602	1663	+	OAKKFK_00027		Phosphotransferase system EIIC domain-containing protein	SO:0001217, UniRef:UniRef50_B9DMY0
contig_7	cds	1921	3378	+	OAKKFK_00028		Glutamine-binding periplasmic protein	SO:0001217, UniRef:UniRef50_A0A239YWZ0
contig_7	cds	3365	4093	+	OAKKFK_00029		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_K2EWR8
contig_7	cds	4244	5371	+	OAKKFK_00030		Epoxyqueuosine reductase	SO:0001217, UniRef:UniRef50_P97030
contig_7	cds	5376	5846	+	OAKKFK_00031		tRNA (cytidine(34)-2'-O)-methyltransferase	SO:0001217, UniRef:UniRef50_A0A1J4XRH7
contig_7	cds	6005	6604	+	OAKKFK_00032		Glucosamine-6-phosphate isomerase	SO:0001217, UniRef:UniRef50_Q2FX90
contig_7	cds	6629	6781	+	OAKKFK_00033		Staphylococcal protein	SO:0001217, UniRef:UniRef50_G5JFE7
contig_7	cds	7329	7724	+	OAKKFK_00034		DUF2975 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A151A458
contig_7	cds	7920	9305	+	OAKKFK_00035		Fumarate hydratase class II	SO:0001217, UniRef:UniRef50_Q9KCX4
contig_7	cds	9758	10579	-	OAKKFK_00036		Pseudouridine synthase	SO:0001217, UniRef:UniRef50_A0A239YUZ3
contig_7	cds	10742	11854	+	OAKKFK_00037		histidine kinase	SO:0001217, UniRef:UniRef50_A0A380G577
contig_7	cds	11876	12499	+	OAKKFK_00038	vraR	Response regulator protein vraR	SO:0001217, UniRef:UniRef50_S2XG46
contig_7	cds	12855	13319	+	OAKKFK_00039		HTH cro/C1-type domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FX98
contig_7	cds	13498	14622	+	OAKKFK_00040		UPF0754 membrane protein SAOUHSC_01978	SO:0001217, UniRef:UniRef50_Q2FX99
contig_7	cds	14691	15035	+	OAKKFK_00041		UPF0342 protein SAOUHSC_01977	SO:0001217, UniRef:UniRef50_Q2FXA0
contig_7	cds	15963	17159	+	OAKKFK_00042		Calcineurin-like phosphoesterase domain-containing protein	SO:0001217, UniRef:UniRef50_Q2G2S7
contig_7	cds	17149	20085	+	OAKKFK_00043	yhaN	Uncharacterized protein YhaN AAA domain-containing protein	SO:0001217, UniRef:UniRef50_B9DMY3
contig_7	cds	20082	21023	+	OAKKFK_00044	yhaM	3'-5' exoribonuclease YhaM	SO:0001217, UniRef:UniRef50_Q9KDN6
contig_7	cds	21144	22106	-	OAKKFK_00045	prsA	Foldase protein PrsA	SO:0001217, UniRef:UniRef50_Q2G2S6
contig_7	cds	22311	22868	-	OAKKFK_00046		DUF3267 domain-containing protein	SO:0001217, UniRef:UniRef50_Q2G2S9
contig_7	cds	23603	23968	-	OAKKFK_00047		hypothetical protein	
contig_7	cds	24110	24532	-	OAKKFK_00048		HIT family protein	SO:0001217, UniRef:UniRef50_A0A1D2KB85
contig_7	cds	24666	25406	+	OAKKFK_00049		ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A0M9FN87
contig_7	cds	25399	26622	+	OAKKFK_00050		Multidrug ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_Q2G2F2
contig_7	cds	26746	27249	-	OAKKFK_00051	traP	signal transduction protein TRAP	BlastRules:WP_000737976, BlastRules:WP_001829811, SO:0001217, UniRef:UniRef50_Q2G2F3
contig_7	cds	27512	28549	+	OAKKFK_00052		Uroporphyrinogen decarboxylase	SO:0001217, UniRef:UniRef50_P32395
contig_7	cds	28607	29530	+	OAKKFK_00053		Coproporphyrin III ferrochelatase	SO:0001217, UniRef:UniRef50_A0A1E5TMB8
contig_7	cds	29554	30954	+	OAKKFK_00054		Coproporphyrinogen III oxidase	SO:0001217, UniRef:UniRef50_Q2FXA5
contig_7	cds	31277	31831	+	OAKKFK_00055		Serine hydrolase family protein	SO:0001217, UniRef:UniRef50_Q2FXA7
contig_7	ncRNA	32157	32251	+	OAKKFK_00056	S774	Staphylococcus sRNA 774	RFAM:RF02896, SO:0000655
contig_7	tRNA	32232	32305	+	OAKKFK_00057	trnfM	tRNA-fMet(cat)	SO:0000266
contig_7	tRNA	32327	32402	+	OAKKFK_00058	trnD	tRNA-Asp(gtc)	SO:0000256
contig_7	tRNA	32419	32491	+	OAKKFK_00059	trnF	tRNA-Phe(gaa)	SO:0000267
contig_7	tRNA	32505	32580	+	OAKKFK_00060	trnH	tRNA-His(gtg)	SO:0000262
contig_7	tRNA	32596	32669	+	OAKKFK_00061	trnG	tRNA-Gly(tcc)	SO:0000260
contig_7	tRNA	32687	32761	+	OAKKFK_00062	trnN	tRNA-Asn(gtt)	SO:0000257
contig_7	tRNA	32763	32834	+	OAKKFK_00063	trnE	tRNA-Glu(ttc)	SO:0000259
contig_7	tRNA	32889	32977	+	OAKKFK_00064	trnS	tRNA-Ser(gga)	SO:0000269
contig_7	cds	33209	33973	+	OAKKFK_00065	seo	staphylococcal enterotoxin type O	BlastRules:WP_010922839, NCBIProtein:BAB42916.1, SO:0001217, UniRef:UniRef50_A0A8G2HX54
contig_7	cds	34254	34973	+	OAKKFK_00066	sem	staphylococcal enterotoxin type M	BlastRules:WP_058008129, NCBIProtein:SGR88215.1, SO:0001217, UniRef:UniRef50_Q9F0L7
contig_7	cds	35008	35736	+	OAKKFK_00067	sei	staphylococcal enterotoxin type I	BlastRules:WP_031927819, NCBIProtein:SGR88193.1, SO:0001217, UniRef:UniRef50_O54476
contig_7	cds	35890	36291	+	OAKKFK_00068		hypothetical protein	PFAM:PF01123.25
contig_7	cds	36266	36661	+	OAKKFK_00069	seu	staphylococcal enterotoxin type U	NCBIProtein:SGR88168.1
contig_7	cds	36700	37455	+	OAKKFK_00070	sen	staphylococcal enterotoxin type N	BlastRules:WP_001622180, NCBIProtein:SAO78304.1, SO:0001217, UniRef:UniRef50_A0A077UKB1
contig_7	cds	37738	38514	+	OAKKFK_00071	seg	staphylococcal enterotoxin type G	BlastRules:WP_031927817, SO:0001217, UniRef:UniRef50_P0A0L6
contig_7	cds	39066	39842	-	OAKKFK_00072		DUF1828 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6N2YQA1
contig_7	cds	39863	40099	-	OAKKFK_00073		hypothetical protein	
contig_7	cds	40177	40671	-	OAKKFK_00074		hypothetical protein	
contig_7	cds	41505	42293	-	OAKKFK_00075		DUF1828 domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FXA8
contig_7	cds	42663	42761	-	OAKKFK_00076		hypothetical protein	
contig_7	ncRNA	42999	43148	+	OAKKFK_00077	sprC	Small pathogenicity island RNA C (srn_3610)	RFAM:RF02890, SO:0000655
contig_7	cds	43657	44592	+	OAKKFK_00078	lukE	bi-component leukocidin LukED subunit E	BlastRules:WP_088621909, BlastRules:WP_114304764, NCBIProtein:RCV70079.1, SO:0001217, UniRef:UniRef50_O54081
contig_7	cds	44594	45577	+	OAKKFK_00079	lukD	bi-component leukocidin LukED subunit D	BlastRules:WP_088621910, NCBIProtein:CAA73668.1, SO:0001217, UniRef:UniRef50_Q2FVK1
contig_7	cds	45947	46738	-	OAKKFK_00080		DUF1828 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1M7FXN5
contig_7	cds	46743	47216	-	OAKKFK_00081		Phage protein	SO:0001217, UniRef:UniRef50_A0A0U1MQN1
contig_7	cds	47472	47690	+	OAKKFK_00082		hypothetical protein	
contig_7	cds	48163	48744	-	OAKKFK_00083		DUF4888 domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FXC0
contig_7	cds	49707	50414	+	OAKKFK_00084	splA	serine protease SplA	BlastRules:WP_001039435, EC:3.4.21.-, NCBIProtein:ABD31004.1, SO:0001217, UniRef:UniRef50_Q2FXC2
contig_7	cds	50539	51261	+	OAKKFK_00085	splB	serine protease SplB	BlastRules:WP_001039447, EC:3.4.21.-, NCBIProtein:ABD31003.1, SO:0001217, UniRef:UniRef50_Q2FXC3
contig_7	cds	51319	52038	+	OAKKFK_00086	splC	serine protease SplC	BlastRules:WP_001038867, EC:3.4.21.-, SO:0001217, UniRef:UniRef50_Q2FXC3
contig_7	cds	52159	52878	+	OAKKFK_00087	splD	serine protease SplD	BlastRules:WP_001038704, EC:3.4.21.-, SO:0001217, UniRef:UniRef50_Q2FXC3
contig_8	cds	269	658	-	OAKKFK_00088		UPF0344 protein SAOUHSC_00907	SO:0001217, UniRef:UniRef50_Q2FZT3
contig_8	cds	987	1889	-	OAKKFK_00089		Uncharacterized protein SAOUHSC_00906	SO:0001217, UniRef:UniRef50_Q2FZT4
contig_8	cds	2055	5708	-	OAKKFK_00090		ATP-dependent helicase/nuclease subunit A	SO:0001217, UniRef:UniRef50_Q4L4Y3
contig_8	cds	5712	9185	-	OAKKFK_00091		ATP-dependent helicase/deoxyribonuclease subunit B	SO:0001217, UniRef:UniRef50_Q2FZT6
contig_8	cds	9345	9920	-	OAKKFK_00092		Signal peptidase IB	SO:0001217, UniRef:UniRef50_Q5HHB9
contig_8	cds	9936	10460	-	OAKKFK_00093		Inactive signal peptidase IA	SO:0001217, UniRef:UniRef50_P0A063
contig_8	cds	10465	11040	-	OAKKFK_00094		Putative undecaprenyl phosphate transporter SAOUHSC_00901	SO:0001217, UniRef:UniRef50_Q2FZT9
contig_8	cds	11365	12696	-	OAKKFK_00095		Glucose-6-phosphate isomerase	SO:0001217, UniRef:UniRef50_Q5WDX0
contig_8	cds	13047	14252	+	OAKKFK_00096		Argininosuccinate synthase	SO:0001217, UniRef:UniRef50_Q59491
contig_8	cds	14242	15621	+	OAKKFK_00097		Argininosuccinate lyase	SO:0001217, UniRef:UniRef50_A0A166NND0
contig_8	cds	15863	16792	+	OAKKFK_00098		Glycerophosphoryl diester phosphodiesterase	SO:0001217, UniRef:UniRef50_A0A9P1JEF8
contig_8	cds	17129	18373	-	OAKKFK_00099	rocG	Catabolic NAD-specific glutamate dehydrogenase RocG	SO:0001217, UniRef:UniRef50_P39633
contig_8	cds	18482	19672	-	OAKKFK_00100		Ornithine aminotransferase	SO:0001217, UniRef:UniRef50_P38021
contig_8	cds	19980	21107	-	OAKKFK_00101		NADH:flavin oxidoreductase/NADH oxidase N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_S2YL03
contig_8	cds	21469	21846	-	OAKKFK_00102		hypothetical protein	PFAM:PF00575.29, PFAM:PF23459.1, PFAM:PF24685.1
contig_8	cds	22261	22854	-	OAKKFK_00103		Peptidyl-prolyl cis-trans isomerase	SO:0001217, UniRef:UniRef50_A0A7S8CCA1
contig_8	cds	22918	23301	+	OAKKFK_00104		Kinase	SO:0001217, UniRef:UniRef50_A0A0M2NU22
contig_8	cds	23432	25837	+	OAKKFK_00105	mnhA1	Na+/H+ antiporter Mnh1 subunit A	BlastRules:WP_042727539, SO:0001217, UniRef:UniRef50_B9EAM4
contig_8	cds	25830	26258	+	OAKKFK_00106	mnhB1	Na+/H+ antiporter Mnh1 subunit B	BlastRules:WP_001081626, SO:0001217, UniRef:UniRef50_Q5HQL1
contig_8	cds	26258	26599	+	OAKKFK_00107	mnhC1	Na+/H+ antiporter Mnh1 subunit C	BlastRules:WP_000402803, SO:0001217, UniRef:UniRef50_Q9RGZ3
contig_8	cds	26592	28088	+	OAKKFK_00108	mnhD1	Na+/H+ antiporter Mnh1 subunit D	BlastRules:WP_000573077, SO:0001217, UniRef:UniRef50_Q2G2H7
contig_8	cds	28090	28569	+	OAKKFK_00109	mnhE1	Na+/H+ antiporter Mnh1 subunit E	BlastRules:WP_000290674, SO:0001217, UniRef:UniRef50_Q2G2H8
contig_8	cds	28569	28862	+	OAKKFK_00110	mnhF1	Na+/H+ antiporter Mnh1 subunit F	BlastRules:WP_001016306, SO:0001217, UniRef:UniRef50_Q2G2H6
contig_8	cds	28840	29196	+	OAKKFK_00111	mnhG1	Na+/H+ antiporter Mnh1 subunit G	BlastRules:WP_000590451, SO:0001217, UniRef:UniRef50_Q2G2H9
contig_8	cds	29445	30599	+	OAKKFK_00112		FAD/NAD(P)-binding domain-containing protein	SO:0001217, UniRef:UniRef50_Q2G2I0
contig_8	cds	30655	31029	-	OAKKFK_00113	comA	ComA operon protein 2	SO:0001217, UniRef:UniRef50_A0A090LQF4
contig_8	cds	31048	32364	-	OAKKFK_00114		Na+/H+ antiporter family protein	SO:0001217, UniRef:UniRef50_Q2FZV5
contig_8	cds	32775	34250	-	OAKKFK_00115		putative cytosol aminopeptidase	SO:0001217, UniRef:UniRef50_B9DIX2
contig_8	cds	34381	35589	-	OAKKFK_00116		Type II NADH:quinone oxidoreductase	SO:0001217, UniRef:UniRef50_A0A078M326
contig_8	cds	36043	36402	-	OAKKFK_00117	sufA	Uncharacterized protein SufA	SO:0001217, UniRef:UniRef50_O32113
contig_8	cds	36415	36651	-	OAKKFK_00118		UPF0349 protein GTNG_2908	SO:0001217, UniRef:UniRef50_A4ISE9
contig_8	cds	36968	38032	+	OAKKFK_00119		Type II NADH:quinone oxidoreductase	SO:0001217, UniRef:UniRef50_A0A239ZU84
contig_8	cds	38091	38414	-	OAKKFK_00120		Disulfide oxidoreductase	SO:0001217, UniRef:UniRef50_A0A0H3JTK4
contig_8	cds	38515	38757	+	OAKKFK_00121	nifU	NIF system FeS cluster assembly NifU C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1B1N2Y6
contig_8	cds	39020	40195	-	OAKKFK_00122	dltD	Protein DltD	SO:0001217, UniRef:UniRef50_Q2FZW3
contig_8	cds	40192	40428	-	OAKKFK_00123		hypothetical protein	PFAM:PF00550.31
contig_8	cds	40446	41660	-	OAKKFK_00124	dltB	PG:teichoic acid D-alanyltransferase DltB	BlastRules:WP_000613541, SO:0001217, UniRef:UniRef50_B9EAK7
contig_8	cds	41657	43114	-	OAKKFK_00125		D-alanine--D-alanyl carrier protein ligase	SO:0001217, UniRef:UniRef50_P68876
