# BUSCO version is: 6.1.0 
# The lineage dataset is: bacteria_odb12.2 (Creation date: 2026-05-22, number of genomes: 3130, number of BUSCOs: 116)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
5293449at2	Complete	k141_8	6643	7245	+	160.1	164	https://v12-2.orthodb.org/?query=5293449at2	holliday junction DNA helicase ruvA
9759736at2	Complete	k141_53	18530	16527	-	523.0	529	https://v12-2.orthodb.org/?query=9759736at2	NAD-dependent DNA ligase
9767721at2	Complete	k141_34	52878	54179	+	459.0	417	https://v12-2.orthodb.org/?query=9767721at2	trigger factor
9771806at2	Complete	k141_39	51222	52388	+	313.1	300	https://v12-2.orthodb.org/?query=9771806at2	chorismate synthase
9776390at2	Complete	k141_58	162983	163918	+	210.7	215	https://v12-2.orthodb.org/?query=9776390at2	tRNA delta(2)-isopentenylpyrophosphate transferase
9776733at2	Complete	k141_58	141506	142549	+	498.2	305	https://v12-2.orthodb.org/?query=9776733at2	RecA
9778364at2	Complete	k141_8	26446	25172	-	410.4	364	https://v12-2.orthodb.org/?query=9778364at2	ATPase
9778722at2	Complete	k141_62	8992	9825	+	474.5	277	https://v12-2.orthodb.org/?query=9778722at2	Ribosomal protein L2
9781053at2	Complete	k141_41	109793	109077	-	229.8	214	https://v12-2.orthodb.org/?query=9781053at2	methyltransferase
9782003at2	Complete	k141_58	111541	112827	+	299.8	308	https://v12-2.orthodb.org/?query=9782003at2	peptidase
9788336at2	Complete	k141_52	16223	15777	-	86.0	118	https://v12-2.orthodb.org/?query=9788336at2	ribosomal protein L9
9790352at2	Complete	k141_39	154866	154144	-	229.4	246	https://v12-2.orthodb.org/?query=9790352at2	dihydrodipicolinate reductase
9791908at2	Complete	k141_15	77480	76998	-	194.3	129	https://v12-2.orthodb.org/?query=9791908at2	phosphoribosylaminoimidazole carboxylase catalytic subunit
9793681at2	Complete	k141_8	57679	58032	+	140.2	112	https://v12-2.orthodb.org/?query=9793681at2	ribosomal silencing factor
9797833at2	Complete	k141_62	9892	10170	+	150.5	78	https://v12-2.orthodb.org/?query=9797833at2	ribosomal protein S19
9799262at2	Complete	k141_58	126741	127010	+	144.4	87	https://v12-2.orthodb.org/?query=9799262at2	Ribosomal protein S15
9800507at2	Complete	k141_22	18995	19567	+	227.8	178	https://v12-2.orthodb.org/?query=9800507at2	Peptidyl-tRNA hydrolase
9800696at2	Complete	k141_8	30126	31244	+	507.6	350	https://v12-2.orthodb.org/?query=9800696at2	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
9800719at2	Complete	k141_47	37956	39014	+	516.5	336	https://v12-2.orthodb.org/?query=9800719at2	phenylalanyl-tRNA synthetase, alpha subunit
9801107at2	Complete	k141_30	9704	11314	+	610.1	446	https://v12-2.orthodb.org/?query=9801107at2	CTP synthase
9801213at2	Complete	k141_15	72082	70598	-	558.4	441	https://v12-2.orthodb.org/?query=9801213at2	asparagine synthase (glutamine-hydrolyzing)
9801330at2	Complete	k141_62	24999	25436	+	139.9	108	https://v12-2.orthodb.org/?query=9801330at2	Ribosomal protein L13
9801549at2	Complete	k141_15	75883	75179	-	274.7	258	https://v12-2.orthodb.org/?query=9801549at2	phosphoribosylaminoimidazole-succinocarboxamide synthase
9801753at2	Complete	k141_29	7126	7383	+	113.5	73	https://v12-2.orthodb.org/?query=9801753at2	membrane protein insertion efficiency factor
9802065at2	Complete	k141_15	68993	67515	-	640.4	480	https://v12-2.orthodb.org/?query=9802065at2	phosphoribosylaminoimidazolecarboxamide formyltransferase
9802219at2	Complete	k141_20	71691	70150	-	312.1	255	https://v12-2.orthodb.org/?query=9802219at2	GMP synthase 
9802304at2	Complete	k141_34	45773	47710	+	606.6	464	https://v12-2.orthodb.org/?query=9802304at2	threonyl-tRNA synthetase
9802309at2	Complete	k141_58	124723	125640	+	208.6	192	https://v12-2.orthodb.org/?query=9802309at2	tRNA pseudouridine synthase
9802366at2	Complete	k141_42	31972	32385	+	204.2	119	https://v12-2.orthodb.org/?query=9802366at2	Ribosomal protein S12
9802408at2	Complete	k141_42	20669	21091	+	246.8	140	https://v12-2.orthodb.org/?query=9802408at2	Ribosomal protein L11
9802554at2	Complete	k141_58	53025	54224	+	525.7	388	https://v12-2.orthodb.org/?query=9802554at2	peptidase
9802589at2	Complete	k141_62	11232	11666	+	157.2	108	https://v12-2.orthodb.org/?query=9802589at2	ribosomal protein L16
9802617at2	Complete	k141_62	13711	14109	+	141.6	115	https://v12-2.orthodb.org/?query=9802617at2	Ribosomal protein S8
9802672at2	Complete	k141_20	1491	895	-	266.3	193	https://v12-2.orthodb.org/?query=9802672at2	Recombination protein
9803017at2	Complete	k141_15	17872	17330	-	169.6	167	https://v12-2.orthodb.org/?query=9803017at2	methyltransferase
9803201at2	Complete	k141_62	8061	8684	+	295.0	202	https://v12-2.orthodb.org/?query=9803201at2	ribosomal protein L4
9803250at2	Complete	k141_62	18383	18601	+	131.2	68	https://v12-2.orthodb.org/?query=9803250at2	translation initiation factor IF-1
9803420at2	Complete	k141_58	91319	92086	+	239.7	188	https://v12-2.orthodb.org/?query=9803420at2	ribonuclease HII
9803474at2	Complete	k141_8	4231	4515	+	113.9	62	https://v12-2.orthodb.org/?query=9803474at2	Ribosomal protein L27
9803541at2	Complete	k141_58	86850	87200	+	175.0	108	https://v12-2.orthodb.org/?query=9803541at2	Ribosomal protein L19
9803610at2	Complete	k141_62	18769	19134	+	156.5	102	https://v12-2.orthodb.org/?query=9803610at2	ribosomal protein S13
9803667at2	Complete	k141_58	125655	126626	+	306.0	275	https://v12-2.orthodb.org/?query=9803667at2	riboflavin kinase
9803672at2	Complete	k141_34	812	210	-	217.9	180	https://v12-2.orthodb.org/?query=9803672at2	Ribosomal protein S4
9803740at2	Complete	k141_42	21299	21991	+	301.9	210	https://v12-2.orthodb.org/?query=9803740at2	Ribosomal protein L1
9803773at2	Complete	k141_8	86045	87862	+	343.5	377	https://v12-2.orthodb.org/?query=9803773at2	DNA primase
9803884at2	Complete	k141_8	35429	38059	+	1163.4	857	https://v12-2.orthodb.org/?query=9803884at2	Alanyl-tRNA synthetase
9803954at2	Complete	k141_42	24172	27723	+	1368.8	861	https://v12-2.orthodb.org/?query=9803954at2	DNA-directed RNA polymerase beta subunit
9803965at2	Complete	k141_62	25450	25848	+	141.0	111	https://v12-2.orthodb.org/?query=9803965at2	Ribosomal protein S9
9804006at2	Complete	k141_58	108843	109397	+	258.5	183	https://v12-2.orthodb.org/?query=9804006at2	ribosome recycling factor
9804072at2	Complete	k141_58	27690	28358	+	173.6	192	https://v12-2.orthodb.org/?query=9804072at2	pyridoxal-5'-phosphate dependent enzyme class III
9804243at2	Complete	k141_54	10821	9559	-	477.6	384	https://v12-2.orthodb.org/?query=9804243at2	Tyrosyl-tRNA synthetase
9804305at2	Complete	k141_58	127379	129475	+	1064.0	694	https://v12-2.orthodb.org/?query=9804305at2	Polyribonucleotide nucleotidyltransferase
9804464at2	Complete	k141_62	7036	7344	+	177.6	100	https://v12-2.orthodb.org/?query=9804464at2	Ribosomal protein S10
9804478at2	Complete	k141_8	7277	8281	+	468.8	301	https://v12-2.orthodb.org/?query=9804478at2	holliday junction DNA helicase
9804647at2	Complete	k141_52	23722	22436	-	509.7	384	https://v12-2.orthodb.org/?query=9804647at2	seryl-tRNA synthetase
9804716at2	Complete	k141_27	6506	7810	+	565.1	367	https://v12-2.orthodb.org/?query=9804716at2	enolase
9804753at2	Complete	k141_41	38393	39316	+	204.5	235	https://v12-2.orthodb.org/?query=9804753at2	UDP-N-acetylenolpyruvoylglucosamine reductase
9804933at2	Complete	k141_47	48898	50679	+	687.4	579	https://v12-2.orthodb.org/?query=9804933at2	Excinuclease ABC subunit C
9805007at2	Complete	k141_62	14134	14670	+	246.4	176	https://v12-2.orthodb.org/?query=9805007at2	50S ribosomal protein L6
9805026at2	Complete	k141_58	77203	77934	+	258.8	219	https://v12-2.orthodb.org/?query=9805026at2	Ribonuclease III
9805455at2	Complete	k141_47	39014	41416	+	23.6	27	https://v12-2.orthodb.org/?query=9805455at2	phenylalanyl-tRNA synthetase subunit beta
